Method,Image_ROCAUC,RGB_Pixel_ROCAUC,RGB_Pixel_F1,RGB_Pixel_AUPR,RGB_Pixel_AP,Infra_Pixel_ROCAUC,Infra_Pixel_F1,Infra_Pixel_AUPR,Infra_Pixel_AP,PC_Pixel_ROCAUC,PC_Pixel_F1,PC_Pixel_AUPR,Class
PC+RGB+gating,0.96,0.996,0.645,0.686,0.686,0.0,0.0,0.0,0.0,0.782,0.283,0.241,Capsule
PC+RGB+gating,0.875,0.999,0.763,0.833,0.832,0.0,0.0,0.0,0.0,0.645,0.141,0.071,Cotton
PC+RGB+gating,1.0,0.989,0.501,0.472,0.473,0.0,0.0,0.0,0.0,0.727,0.168,0.068,Cube
PC+RGB+gating,0.904,0.997,0.309,0.221,0.223,0.0,0.0,0.0,0.0,0.743,0.311,0.229,Spring_Pad
PC+RGB+gating,1.0,0.99,0.312,0.271,0.271,0.0,0.0,0.0,0.0,0.497,0.055,0.026,Screw
PC+RGB+gating,0.806,0.863,0.36,0.286,0.286,0.0,0.0,0.0,0.0,0.561,0.091,0.045,Screen
PC+RGB+gating,1.0,0.987,0.433,0.401,0.402,0.0,0.0,0.0,0.0,0.537,0.014,0.006,Piggy
PC+RGB+gating,0.976,0.992,0.195,0.119,0.12,0.0,0.0,0.0,0.0,0.769,0.221,0.114,Nut
PC+RGB+gating,0.78,0.992,0.252,0.177,0.177,0.0,0.0,0.0,0.0,0.663,0.095,0.045,Flat_Pad
PC+RGB+gating,0.871,0.991,0.457,0.462,0.463,0.0,0.0,0.0,0.0,0.643,0.045,0.017,Plastic_Cylinder
PC+RGB+gating,0.952,0.967,0.176,0.092,0.092,0.0,0.0,0.0,0.0,0.573,0.104,0.053,Zipper
PC+RGB+gating,1.0,0.996,0.408,0.389,0.389,0.0,0.0,0.0,0.0,0.688,0.05,0.018,Button_Cell
PC+RGB+gating,0.966,0.989,0.058,0.026,0.027,0.0,0.0,0.0,0.0,0.403,0.074,0.03,Toothbrush
PC+RGB+gating,0.751,0.99,0.376,0.372,0.372,0.0,0.0,0.0,0.0,0.676,0.074,0.01,Solar_Panel
PC+RGB+gating,0.967,0.998,0.403,0.344,0.344,0.0,0.0,0.0,0.0,0.514,0.013,0.005,Light
Mean,0.9205333333333333,0.9824,0.37653333333333333,0.34340000000000004,0.34380000000000005,0.0,0.0,0.0,0.0,0.6280666666666667,0.11593333333333332,0.06520000000000001,Overall
